Delivery_person_Age,Delivery_person_Ratings,Weatherconditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,distance,City_Name,month,day_of_week,weekend,day,quarter,Food_preparation_time,pickup_cluster,dropoff_cluster,Time_taken(min)
28.926829268292682,4.634615384615385,0,2.0,1,1,3,1.0,0,3.0,8.417202844888825,16,4,2,0,6,2,10.0,15,15,33
37.0,4.7,3,4.0,0,3,2,3.0,0,3.0,9.347982302924779,20,4,0,0,4,2,5.0,1,1,52
28.0,4.6,4,4.0,1,3,3,1.0,0,3.0,11.57577833415657,16,3,1,0,8,1,15.0,15,15,22
37.0,4.9,1,1.0,1,3,3,1.0,0,2.0,2.0573456990166608,14,2,6,1,13,1,5.0,14,14,16
23.0,4.9,5,4.0,2,1,1,0.0,0,3.0,6.309121435057193,16,3,3,0,24,1,5.0,15,15,11
27.0,4.9,6,2.0,1,1,3,1.0,0,3.0,6.509857858673524,3,3,5,1,19,1,15.0,11,11,25
37.0,4.8,0,2.0,0,1,2,1.0,0,2.0,4.338272442854476,5,3,2,0,9,1,10.0,0,0,26
33.0,5.0,5,3.0,2,3,3,1.0,0,3.0,1.0384804958946512,20,3,5,1,19,1,10.0,1,1,18
31.0,4.9,1,2.0,1,3,2,1.0,0,3.0,4.089646689991078,19,4,6,1,3,2,5.0,2,2,16
31.0,4.8,4,1.0,2,1,3,1.0,0,3.0,11.937406110583897,3,3,4,0,25,1,10.0,11,11,23
28.0,4.8,3,4.0,0,1,2,1.0,0,3.0,8.742896063074658,6,4,0,0,4,2,10.0,5,5,36
31.0,4.7,0,1.0,2,3,2,0.0,0,3.0,6.230993169364511,20,3,5,1,26,1,15.0,1,1,16
24.0,4.7,5,2.0,0,0,2,0.0,0,2.0,9.837142766925323,6,3,3,0,10,1,5.0,5,5,19
39.0,4.6,5,1.0,1,3,2,1.0,0,3.0,8.919856571735664,0,2,0,0,14,1,15.0,19,19,27
32.0,4.5,6,1.0,2,0,3,0.0,0,0.0,0.9935266559156621,11,3,5,1,26,1,15.0,3,3,20
25.0,4.8,3,1.0,1,1,3,0.0,0,2.0,7.946423465539216,11,3,1,0,29,1,10.0,3,3,18
33.0,4.9,5,4.0,2,1,3,0.0,0,3.0,3.263317310970422,17,3,2,0,30,1,5.0,18,18,22
30.0,4.4,0,1.0,2,1,3,1.0,0,3.0,7.268998877174142,20,3,5,1,12,1,15.0,1,1,34
33.0,5.0,3,1.0,0,0,2,0.0,0,2.0,11.564394080361879,16,3,3,0,31,1,5.0,15,15,24
36.0,4.9,1,2.0,2,1,3,1.0,0,3.0,4.222837054685407,18,3,3,0,17,1,15.0,7,7,17
21.0,4.8,3,1.0,2,2,1,0.0,0,3.0,2.011591764787096,1,2,1,0,15,1,10.0,21,21,14
39.0,4.9,4,4.0,2,2,2,1.0,0,3.0,4.806209451627952,7,2,1,0,15,1,5.0,17,17,30
39.0,4.6,0,4.0,1,3,3,1.0,0,3.0,9.764690450641305,5,3,2,0,16,1,5.0,0,0,36
22.0,4.7,5,3.0,1,0,3,1.0,0,2.0,4.154431063540238,20,3,3,0,17,1,5.0,1,1,18
32.0,4.6,1,2.0,1,2,3,0.0,0,3.0,4.153629754712197,20,3,1,0,15,1,15.0,1,1,17
30.157894736842106,4.567924528301886,2,0.0,1,1,3,0.0,0,3.0,4.340505320370008,3,3,4,0,11,1,10.0,11,11,19
26.0,4.7,1,1.0,1,0,2,0.0,0,3.0,6.374349541569828,9,3,5,1,5,1,15.0,6,13,10
35.0,4.1,3,4.0,1,0,2,2.0,0,3.0,9.76111295527462,5,3,5,1,12,1,15.0,0,0,37
39.0,4.6,1,4.0,1,1,3,2.0,0,3.0,9.766228884606162,3,3,1,0,29,1,10.0,11,11,44
34.0,4.7,6,3.0,2,1,1,1.0,0,3.0,4.121408672786741,21,3,5,1,19,1,10.0,1,1,28
27.0,4.7,0,4.0,2,3,3,1.0,0,3.0,11.936451215299837,3,3,3,0,10,1,15.0,11,11,42
25.0,4.4,0,2.0,2,3,3,1.0,0,3.0,11.929179669702124,5,3,6,1,27,1,5.0,0,0,39
25.0,4.7,4,2.0,0,2,2,0.0,0,2.0,11.564394080361879,16,3,6,1,27,1,5.0,15,15,20
30.0,5.0,4,3.0,1,0,2,1.0,0,3.0,1.9866147210110934,11,3,3,0,24,1,5.0,3,3,31
24.0,4.6,4,4.0,1,0,2,0.0,0,3.0,6.375059102995053,9,3,2,0,9,1,10.0,6,6,13
39.0,4.8,4,4.0,1,2,2,1.0,0,3.0,5.279627803400872,18,3,3,0,3,1,15.0,7,7,28
25.0,4.8,6,3.0,1,3,3,1.0,0,2.0,4.290420114957244,8,2,1,0,15,1,5.0,16,16,19
37.0,4.6,1,1.0,0,0,2,2.0,1,2.0,8.378280283395535,2,2,4,0,18,1,15.0,7,7,42
24.0,5.0,1,1.0,0,1,2,1.0,0,3.0,1.0851097568088306,3,3,1,0,1,1,5.0,11,11,23
25.0,4.2,4,4.0,0,2,2,1.0,0,3.0,11.686158935434154,9,3,2,0,23,1,15.0,6,13,39
32.0,4.6,4,1.0,2,1,2,1.0,0,3.0,1.0223723231125292,19,4,4,0,1,2,10.0,2,2,25
34.0,4.7,3,1.0,1,1,3,0.0,0,3.0,6.937777838310045,0,2,2,0,16,1,5.0,20,19,15
38.0,4.9,0,1.0,2,1,3,1.0,0,2.0,2.0542363539067625,10,3,4,0,11,1,15.0,8,8,15
36.0,4.8,5,2.0,2,0,1,0.0,0,3.0,8.941521591861331,11,3,0,0,14,1,5.0,3,3,15
25.0,5.0,4,4.0,1,2,2,1.0,0,3.0,11.424477909056167,20,3,4,0,18,1,15.0,1,1,15
29.0,5.0,5,1.0,0,1,2,0.0,0,3.0,5.43868787350543,17,4,4,0,1,2,5.0,18,18,18
36.0,4.7,3,1.0,2,1,1,0.0,0,3.0,9.480372490608243,16,4,0,0,4,2,10.0,15,15,29
33.0,4.7,1,1.0,0,3,2,0.0,0,3.0,5.463966747990705,6,3,4,0,11,1,5.0,5,5,20
36.0,4.4,0,3.0,2,2,3,1.0,0,3.0,4.350810316312117,17,3,6,1,13,1,15.0,18,18,39
21.0,4.8,6,1.0,0,3,2,0.0,0,3.0,11.614185438872484,18,3,4,0,4,1,15.0,7,7,19
25.0,4.8,0,1.0,1,3,3,1.0,0,2.0,3.186696665870794,9,3,5,1,26,1,15.0,13,13,19
23.0,4.8,6,1.0,0,2,2,0.0,0,3.0,13.673068213125848,16,3,2,0,16,1,10.0,15,15,17
25.0,4.6,4,1.0,2,3,2,1.0,0,2.0,1.0927926901001674,6,3,1,0,1,1,15.0,5,5,15
24.0,4.3,3,1.0,0,2,2,0.0,0,2.0,2.054550693853658,10,3,1,0,15,1,15.0,8,8,19
27.0,4.6,3,4.0,0,0,2,1.0,0,3.0,9.764441773117422,3,3,4,0,4,1,15.0,11,11,29
23.0,4.8,0,1.0,2,3,3,1.0,0,2.0,11.582519464430048,16,3,4,0,18,1,5.0,15,15,22
21.0,4.3,1,4.0,1,1,3,0.0,0,3.0,14.142311292277133,17,3,2,0,23,1,10.0,18,18,42
27.0,4.7,3,1.0,2,3,3,0.0,0,2.0,2.076960990757326,20,3,1,0,15,1,15.0,1,1,12
32.0,4.2,0,4.0,1,3,2,1.0,0,3.0,14.20734584840312,6,3,1,0,8,1,10.0,5,5,38
25.0,4.6,5,1.0,0,1,2,1.0,0,3.0,11.423487316386835,20,3,3,0,10,1,15.0,1,1,23
39.0,4.7,0,1.0,1,2,3,0.0,0,3.0,1.9941622544501385,12,2,4,0,11,1,15.0,10,10,15
27.0,4.6,5,1.0,0,3,2,1.0,0,3.0,8.307892519908489,20,3,0,0,14,1,5.0,1,1,24
39.0,3.8,6,4.0,1,1,2,0.0,0,3.0,11.569870575947016,16,3,2,0,16,1,5.0,15,15,37
31.0,4.8,3,1.0,1,3,3,0.0,0,3.0,5.424772039550687,3,3,1,0,1,1,10.0,11,11,24
31.0,4.8,5,1.0,2,0,1,0.0,0,3.0,6.134955336036469,19,3,1,0,1,1,5.0,2,2,13
20.0,4.8,0,1.0,0,1,2,0.0,0,0.0,1.0878158256291879,17,3,2,0,30,1,15.0,18,18,16
36.0,4.9,0,2.0,0,1,2,1.0,0,2.0,8.179927342871652,19,3,2,0,2,1,10.0,2,2,42
20.0,4.9,3,1.0,0,2,2,1.0,0,3.0,9.198455415260293,19,3,6,1,20,1,10.0,2,2,17
24.0,4.6,0,4.0,0,1,2,0.0,0,3.0,2.980477836995925,11,4,6,1,3,2,15.0,3,3,25
29.61111111111111,4.6419999999999995,2,0.0,3,3,1,0.0,0,3.0,11.333758052959494,21,4,5,1,2,2,10.0,1,1,25
39.0,4.2,1,2.0,1,3,3,0.0,0,3.0,11.297186824651968,10,3,1,0,29,1,5.0,8,8,39
37.0,4.8,5,3.0,2,2,3,0.0,0,3.0,4.37111700498641,6,3,3,0,17,1,10.0,5,5,18
32.0,4.9,3,2.0,2,1,2,1.0,0,3.0,4.338272442854476,5,3,3,0,17,1,10.0,0,0,28
22.0,4.5,3,1.0,1,1,3,1.0,0,3.0,4.985236002963654,12,2,1,0,15,1,15.0,10,10,18
23.0,4.9,6,1.0,1,2,3,0.0,0,3.0,14.20734584840312,6,3,4,0,18,1,15.0,5,5,18
33.0,4.7,1,4.0,1,3,3,1.0,0,3.0,11.24743149816853,19,3,1,0,8,1,10.0,2,2,49
23.0,4.618181818181818,5,1.0,0,1,2,0.0,0,3.0,3.0853462669334726,14,2,3,0,17,1,10.0,14,14,15
27.0,4.6,5,1.0,0,1,2,1.0,0,3.0,8.6817499299791,3,3,3,0,31,1,5.0,11,11,21
34.0,4.7,5,3.0,2,3,3,0.0,0,3.0,4.20860144995801,16,3,1,0,1,1,15.0,15,15,23
26.0,5.0,1,1.0,2,2,3,1.0,0,2.0,1.0386078103101584,20,4,6,1,3,2,10.0,1,1,11
31.0,4.6,0,4.0,0,3,2,0.0,0,3.0,6.1821022007873765,21,3,3,0,24,1,15.0,1,1,25
32.0,4.9,1,1.0,2,3,2,0.0,0,3.0,2.111601348715558,18,3,0,0,7,1,5.0,7,7,18
27.0,4.7,0,1.0,1,0,2,0.0,0,3.0,2.0542740791231697,10,3,2,0,9,1,5.0,8,8,14
21.0,4.9,6,2.0,0,1,2,2.0,0,3.0,9.766228884606162,3,3,5,1,12,1,15.0,11,11,36
28.0,4.8,1,1.0,1,1,2,1.0,0,3.0,5.425548775751294,3,3,3,0,24,1,5.0,11,11,18
33.0,4.4,3,1.0,0,3,2,1.0,0,3.0,1.0624219632593057,9,3,5,1,5,1,10.0,6,6,28
20.0,4.6,1,4.0,0,0,2,0.0,1,3.0,9.766187382813307,3,3,4,0,18,1,15.0,11,11,44
31.0,4.3,6,1.0,0,3,2,1.0,0,3.0,6.557172321113261,6,3,6,1,13,1,15.0,5,5,20
30.875,4.638461538461539,4,1.0,2,3,3,0.0,0,0.0,3.167271845870232,18,3,2,0,9,1,10.0,7,7,19
36.0,5.0,1,4.0,1,3,2,1.0,0,3.0,7.212465133837956,21,3,3,0,31,1,10.0,1,1,35
31.0,4.2,3,4.0,0,2,2,1.0,0,3.0,11.933989360636469,5,3,2,0,23,1,10.0,0,0,50
39.0,4.1,4,4.0,1,2,3,1.0,0,3.0,6.3750139488974495,9,3,3,0,24,1,5.0,6,13,34
29.0,4.6,5,4.0,2,2,1,1.0,0,3.0,8.30811832480649,20,3,5,1,12,1,15.0,1,1,17
29.0,4.6,3,3.0,1,3,3,0.0,0,2.0,4.153617295421591,20,3,3,0,3,1,10.0,1,1,23
37.0,4.9,1,2.0,0,0,2,1.0,0,3.0,3.27833775480602,6,3,2,0,9,1,10.0,5,5,27
31.0,3.9,0,1.0,1,0,3,1.0,0,3.0,7.36753698201655,16,3,4,0,18,1,10.0,15,15,35
26.0,4.4,3,1.0,0,0,2,0.0,0,0.0,6.509595497173567,3,3,0,0,7,1,10.0,11,11,23
24.0,4.6,4,2.0,0,3,2,0.0,0,3.0,12.020719524160947,6,3,4,0,4,1,10.0,5,5,30
39.0,4.8,0,3.0,0,3,2,1.0,0,3.0,4.351049043986122,17,4,4,0,1,2,15.0,18,18,28
20.0,4.7,3,2.0,0,1,2,1.0,0,3.0,8.742264532495385,6,3,6,1,20,1,10.0,5,5,24
20.0,5.0,0,4.0,0,2,2,1.0,0,2.0,14.140588353508285,17,3,3,0,31,1,15.0,18,18,36
29.0,4.3,3,1.0,0,0,2,0.0,0,3.0,6.172054751454056,14,2,6,1,13,1,5.0,14,14,28
36.0,4.8,1,2.0,2,1,2,1.0,0,2.0,12.021560198921474,6,3,1,0,29,1,5.0,5,5,31
36.0,4.0,5,4.0,0,2,2,3.0,0,3.0,9.273243427002267,21,3,2,0,16,1,5.0,1,1,44
22.0,4.8,6,1.0,1,1,3,1.0,0,3.0,8.179950273520552,19,3,0,0,14,1,15.0,2,2,15
38.0,4.4,6,2.0,0,0,2,1.0,0,3.0,7.388154059553628,18,3,3,0,31,1,5.0,7,7,33
39.0,4.9,1,4.0,0,0,2,0.0,0,3.0,5.192037185644412,20,3,3,0,17,1,15.0,1,1,30
24.0,4.9,4,2.0,1,3,3,1.0,0,3.0,5.13642424120857,10,3,0,0,28,1,10.0,8,8,22
35.0,4.8,1,2.0,0,2,2,3.0,0,3.0,9.560514754622186,9,3,4,0,4,1,10.0,6,13,48
33.0,4.5,4,1.0,2,1,1,1.0,0,3.0,9.760417329497706,5,3,4,0,4,1,15.0,0,0,19
39.0,4.7,6,2.0,1,3,2,1.0,0,2.0,7.6739192588298,13,2,0,0,14,1,5.0,5,5,21
31.0,4.3,6,4.0,1,1,2,0.0,0,3.0,8.243008732095593,21,3,4,0,25,1,10.0,1,1,44
37.0,4.5,6,1.0,2,1,3,0.0,0,3.0,1.0849517258960022,5,3,3,0,17,1,15.0,0,0,26
37.0,4.7,6,1.0,1,0,3,1.0,0,3.0,3.263317310970422,17,4,4,0,1,2,5.0,18,18,26
33.0,5.0,6,3.0,1,2,2,1.0,0,3.0,1.05179341046355,16,3,5,1,19,1,5.0,15,15,31
33.0,4.5,5,4.0,1,3,3,0.0,0,3.0,7.946684308333067,11,3,2,0,2,1,5.0,3,3,18
39.0,4.7,1,2.0,2,2,2,1.0,0,3.0,7.040900540287829,1,2,2,0,16,1,15.0,21,21,38
37.0,4.6,0,2.0,1,3,2,1.0,0,3.0,9.202432921425723,19,3,1,0,29,1,10.0,2,2,32
25.0,4.9,3,1.0,2,2,3,1.0,0,3.0,5.311161100075417,9,3,0,0,7,1,5.0,13,13,17
28.0,4.8,1,2.0,1,0,3,1.0,0,2.0,6.335010308418667,18,3,3,0,3,1,5.0,7,7,11
38.0,4.7,6,3.0,2,0,2,1.0,0,3.0,4.350880320576714,17,3,2,0,30,1,10.0,18,18,31
28.227272727272727,4.59375,3,2.0,0,1,2,0.0,0,3.0,6.953151442171775,11,3,5,1,12,1,10.0,3,3,43
31.0,4.6,6,2.0,0,2,2,0.0,0,3.0,6.5266346117767045,17,3,5,1,19,1,10.0,18,18,25
25.0,4.8,0,4.0,2,3,2,1.0,0,3.0,6.315410528081811,16,3,1,0,15,1,15.0,15,15,22
35.0,4.9,1,4.0,0,1,2,3.0,0,3.0,7.613558179985818,17,3,2,0,2,1,5.0,18,18,43
39.0,4.7,1,4.0,0,0,2,1.0,1,3.0,7.157861165580715,19,3,3,0,31,1,10.0,2,2,42
38.0,3.9,4,4.0,1,2,2,0.0,0,3.0,8.21813446068326,10,3,6,1,6,1,10.0,8,8,42
35.0,4.7,1,4.0,1,1,2,1.0,0,3.0,3.2541998149992057,5,3,0,0,21,1,10.0,0,0,34
29.0,4.7,3,1.0,1,3,2,1.0,0,3.0,1.989180800693879,11,3,1,0,1,1,15.0,3,3,17
27.0,4.6,4,4.0,1,3,3,0.0,0,3.0,3.115988595102884,20,3,3,0,24,1,5.0,1,1,25
38.0,4.3,3,4.0,0,2,2,1.0,1,1.0,9.789951892254713,17,4,0,0,4,2,10.0,18,18,54
36.0,4.9,6,1.0,2,0,2,0.0,0,3.0,7.270648060158098,20,3,2,0,2,1,15.0,1,1,21
26.0,4.0,0,3.0,1,0,2,1.0,0,3.0,4.2500394116568385,9,4,4,0,1,2,10.0,6,6,34
26.0,4.1,1,4.0,2,2,2,1.0,0,3.0,8.973460455898822,12,2,5,1,12,1,5.0,10,10,36
36.0,4.9,5,2.0,1,1,2,0.0,0,3.0,6.527220646318276,17,4,1,0,5,2,10.0,18,18,17
21.0,4.7,5,1.0,0,2,2,1.0,0,3.0,0.9933257867785273,11,3,3,0,3,1,10.0,3,3,16
35.0,4.7,5,4.0,2,2,1,1.0,0,3.0,8.677744475367705,5,4,2,0,6,2,5.0,0,0,27
20.0,4.5,1,3.0,2,2,2,1.0,0,3.0,4.350847686744131,17,3,3,0,17,1,5.0,18,18,26
23.0,4.6,1,4.0,0,3,2,2.0,1,3.0,9.500691942811992,18,3,3,0,31,1,15.0,7,7,46
37.0,5.0,5,4.0,0,0,2,0.0,0,3.0,6.17069210215057,14,2,3,0,17,1,10.0,14,14,29
26.0,4.8,3,4.0,0,3,2,1.0,0,3.0,6.510387639547838,3,3,2,0,9,1,5.0,11,11,23
29.0,5.0,3,1.0,1,3,3,1.0,0,2.0,8.307843880466827,20,3,6,1,27,1,15.0,1,1,11
26.0,4.9,4,2.0,1,3,2,0.0,0,3.0,11.30012597949175,10,3,4,0,25,1,15.0,8,8,28
29.0,4.8,0,4.0,0,2,2,1.0,0,3.0,6.334804020144519,18,3,4,0,11,1,5.0,7,7,25
29.0,4.7,3,1.0,2,3,2,0.0,0,3.0,2.0441012349443164,19,3,3,0,3,1,15.0,2,2,11
21.0,4.9,6,2.0,1,2,3,1.0,0,3.0,2.8683261786010625,15,2,1,0,15,1,10.0,9,9,26
22.0,4.3,4,1.0,0,2,2,1.0,0,3.0,2.175524523500214,17,3,0,0,7,1,15.0,18,18,23
31.0,4.0,1,2.0,1,3,2,2.0,0,3.0,7.946423465539216,11,3,4,0,18,1,15.0,3,3,39
20.0,4.5,1,1.0,1,3,2,0.0,0,0.0,2.185738229806513,6,4,6,1,3,2,10.0,5,5,11
30.0,3.9,4,4.0,2,1,1,1.0,0,3.0,8.242883071856507,21,4,2,0,6,2,15.0,1,1,32
36.0,4.8,1,2.0,0,3,2,1.0,0,3.0,7.595956238107657,3,3,6,1,6,1,15.0,11,11,43
24.0,4.7,1,2.0,1,0,3,1.0,0,3.0,4.351263298758324,17,3,5,1,19,1,10.0,18,18,13
32.0,4.7,6,1.0,2,0,1,0.0,0,3.0,1.087592843773108,17,3,0,0,21,1,10.0,18,18,25
25.0,5.0,6,2.0,1,1,2,0.0,0,3.0,6.506825310370957,5,3,5,1,19,1,5.0,0,0,27
27.0,4.5,6,2.0,2,1,3,1.0,0,3.0,4.249610160454347,9,3,0,0,28,1,15.0,6,6,29
32.0,4.1,3,2.0,0,0,2,1.0,0,3.0,7.594587482760367,3,3,1,0,29,1,15.0,11,11,33
23.0,4.7,1,2.0,1,1,2,1.0,0,2.0,4.338612404921048,5,3,3,0,17,1,5.0,0,0,19
39.0,4.4,5,2.0,0,2,2,1.0,0,3.0,14.104123457084262,3,3,1,0,29,1,5.0,11,11,33
20.0,4.8,6,2.0,2,1,1,0.0,0,0.0,7.951168067829389,11,3,4,0,4,1,10.0,3,3,15
29.0,4.6,4,4.0,1,2,3,1.0,0,3.0,3.017387643643219,1,2,1,0,15,1,15.0,21,21,29
26.0,4.9,4,1.0,2,2,3,1.0,0,3.0,13.906493034441118,11,3,1,0,29,1,5.0,3,3,18
25.0,5.0,4,1.0,1,2,2,1.0,0,3.0,1.0963242355483123,13,2,6,1,13,1,5.0,5,5,14
34.0,4.7,6,2.0,1,3,2,1.0,0,3.0,4.340505320370008,3,4,6,1,3,2,15.0,11,11,30
31.0,4.9,5,3.0,0,3,2,0.0,0,3.0,4.290086985891199,8,2,6,1,13,1,15.0,16,16,28
30.0,4.9,0,2.0,2,2,2,0.0,0,3.0,9.561622790248126,9,4,5,1,2,2,15.0,6,13,30
36.0,4.8,3,2.0,0,0,2,1.0,0,3.0,12.929674655316271,11,3,6,1,20,1,5.0,3,3,36
36.0,4.4,1,1.0,0,3,2,1.0,0,3.0,13.914543643270568,11,3,1,0,29,1,15.0,3,3,37
26.0,4.7,0,4.0,0,2,2,1.0,0,3.0,13.906240587321797,11,3,4,0,4,1,5.0,3,3,43
30.0,4.6,5,1.0,2,0,3,1.0,0,0.0,11.333940781565508,21,3,6,1,27,1,10.0,1,1,29
33.0,4.7,1,2.0,2,0,1,1.0,0,2.0,5.424833704111001,3,3,2,0,9,1,15.0,11,11,15
34.0,4.0,6,4.0,0,3,2,2.0,0,3.0,9.470420650132253,16,3,5,1,12,1,5.0,15,15,39
36.0,4.6,6,1.0,0,0,2,1.0,0,3.0,8.499375645116256,9,4,0,0,4,2,10.0,6,13,20
33.0,4.6,1,1.0,1,0,2,1.0,0,3.0,1.9942914124360225,12,2,4,0,11,1,10.0,10,10,15
22.0,4.8,3,1.0,1,1,2,1.0,0,3.0,11.520818644522569,2,2,4,0,18,1,15.0,7,7,16
38.0,4.7,5,1.0,2,1,3,1.0,0,3.0,1.0554505864739778,18,3,5,1,19,1,15.0,7,7,19
27.0,4.9,1,1.0,2,1,3,0.0,0,3.0,8.682027233767032,3,3,2,0,2,1,15.0,11,11,20
32.0,4.8,5,4.0,2,2,3,1.0,0,3.0,6.979358188734105,12,2,0,0,14,1,10.0,10,10,25
26.0,4.8,0,4.0,0,3,2,1.0,0,3.0,8.681092351254843,3,3,6,1,27,1,10.0,11,11,43
29.0,4.5,6,1.0,0,1,2,0.0,0,2.0,13.352166943943384,10,3,4,0,4,1,10.0,8,8,15
31.0,4.5,5,4.0,0,0,2,0.0,0,2.0,8.74269866675962,6,4,2,0,6,2,15.0,5,5,29
28.0,4.6,4,3.0,2,1,2,0.0,0,3.0,4.248367100199935,9,3,5,1,26,1,15.0,13,13,14
21.0,4.8,5,2.0,1,0,2,1.0,0,3.0,5.946792228497198,0,2,4,0,11,1,5.0,19,19,11
21.0,4.0,3,1.0,0,0,2,1.0,0,3.0,5.464254675282003,6,3,0,0,28,1,5.0,5,5,19
29.0,4.7,0,2.0,2,0,2,1.0,0,2.0,4.022916677452524,1,2,4,0,11,1,5.0,21,21,11
20.0,4.8,5,3.0,1,3,2,0.0,0,3.0,1.0521210527753968,16,3,0,0,28,1,10.0,15,15,14
28.0,5.0,6,1.0,0,3,2,0.0,0,2.0,9.425648772492524,2,2,2,0,16,1,10.0,7,7,15
